branch,cgpa,interest_domain,favorite_subject,technical_skills,projects_count,certifications_count,internship_experience,aptitude_score,logical_score,analytical_score,creativity_score,communication_score,coding_score,preferred_work_style,recommended_career
IT,9.1,Business,DBMS,"Agile,Documentation,Excel",5,2,No,55,58,56,40,78,75,Coding,Business Analyst
Civil,7.4,Business,Economics,"Agile,Documentation,Excel,SQL",4,1,No,59,67,65,49,76,51,Analytical,Business Analyst
ECE,9.2,Security,OS,"Linux,Networking,OWASP,SIEM",2,1,Yes,88,92,97,78,79,99,Creative,Cybersecurity Analyst
CSE,8.8,Web,Computer Networks,"CSS,Git,HTML,JavaScript,React",3,2,Yes,87,80,95,99,72,99,Management,Frontend Developer
ECE,7.6,Data,DBMS,"ML,Pandas,Python,SQL,Statistics",4,0,No,67,70,84,56,79,82,Management,Data Scientist
ECE,8.3,Web,Web Technology,"CSS,Git,HTML,JavaScript,Node,React",5,0,No,81,76,74,65,92,83,Management,Full Stack Developer
ECE,7.3,Web,JavaScript,"CSS,Git,HTML,JavaScript,Node,React,SQL",2,0,No,78,82,88,75,64,89,Creative,Full Stack Developer
ECE,7.0,Mobile,Java,"Android,Git,Kotlin,REST",1,2,Yes,74,66,75,76,86,66,Creative,Android Developer
CSE,9.5,Business,Economics,"Agile,Documentation,Excel,SQL,Teamwork",1,2,No,84,94,86,99,79,97,Creative,Business Analyst
Civil,9.3,Web,Computer Networks,"CSS,Docker,HTML,JavaScript,React",1,1,No,79,76,75,99,71,90,Coding,Frontend Developer
EEE,6.8,Security,OS,"Linux,Networking,OWASP,SIEM",3,0,Yes,70,61,75,69,74,80,Analytical,Cybersecurity Analyst
IT,7.6,Business,Management,"Agile,Communication,Documentation,Excel,SQL",3,1,No,71,75,76,58,69,85,Creative,Business Analyst
IT,8.2,Data,DBMS,"ML,Pandas,Python,SQL,Statistics",2,3,No,77,77,90,91,72,79,Coding,Data Scientist
EEE,7.0,Data,Data Mining,"Excel,Pandas,Python,Tableau",1,3,No,84,86,85,74,78,83,Management,Data Analyst
Civil,7.1,Cloud,Cloud Computing,"AWS,Docker,Networking,Terraform",0,2,No,60,67,62,60,65,56,Analytical,Cloud Engineer
IT,8.0,Design,UI Basics,"Prototyping,Research,Wireframes",5,3,No,61,56,54,69,63,63,Coding,UI/UX Designer
Civil,7.8,Web,Computer Networks,"CSS,Git,HTML,JavaScript,React",0,0,No,66,66,72,74,52,59,Management,Frontend Developer
ECE,6.0,Web,Computer Networks,"API testing,SQL,Selenium,Testing",3,3,No,57,54,60,64,57,63,Management,QA/Test Engineer
Mechanical,6.5,Security,Cryptography,"Excel,Linux,OWASP,SIEM",0,2,No,61,59,50,72,57,55,Analytical,Cybersecurity Analyst
IT,7.0,Security,Network Security,"Linux,Networking,OWASP,SIEM",0,1,No,90,98,88,89,79,99,Coding,Cybersecurity Analyst
Civil,9.3,Business,Management,"Documentation,Excel,SQL",5,0,No,86,92,87,99,80,87,Creative,Business Analyst
EEE,6.0,Business,Management,"Agile,Documentation,Excel,SQL",5,3,No,89,90,79,75,97,79,Management,Business Analyst
ECE,7.5,Data,ML,"Excel,Pandas,Python,SQL,Tableau",4,1,No,75,74,93,69,75,80,Analytical,Data Analyst
Mechanical,6.7,Web,Web Technology,"Git,Linux,REST,SQL",4,0,No,64,57,56,80,57,79,Analytical,Backend Developer
IT,7.1,Web,Computer Networks,"CSS,Git,HTML,JavaScript,Node,React,SQL,Statistics",3,1,No,87,80,92,75,82,84,Management,Full Stack Developer
Civil,8.2,Web,JavaScript,"CSS,Git,HTML,JavaScript,React",0,0,No,72,70,61,69,67,86,Analytical,Frontend Developer
Mechanical,6.0,Web,Web Technology,"CSS,Excel,Git,HTML,JavaScript,Node,React,SQL",4,3,Yes,73,76,68,74,61,64,Analytical,Full Stack Developer
Mechanical,7.5,Web,Computer Networks,"CSS,Git,HTML,JavaScript,Node,React,SQL",2,0,Yes,79,77,82,63,84,81,Coding,Full Stack Developer
CSE,7.4,Web,JavaScript,"CSS,Git,HTML,JavaScript,Node,React,SQL",1,1,No,87,92,76,71,73,81,Coding,Full Stack Developer
Mechanical,7.4,Security,OS,"Excel,Linux,Networking,OWASP,SIEM",3,0,No,68,75,78,77,78,71,Coding,Cybersecurity Analyst
CSE,8.8,Web,JavaScript,"API testing,Git,SQL,Selenium,Testing",4,3,Yes,80,72,76,73,72,99,Management,QA/Test Engineer
EEE,7.8,Cloud,Computer Networks,"AWS,Docker,Networking,Terraform",2,2,No,65,56,54,66,73,80,Coding,Cloud Engineer
Mechanical,7.5,Design,HCI,"Docker,Figma,Prototyping,Research,Wireframes",3,1,No,60,70,61,66,61,74,Coding,UI/UX Designer
ECE,7.6,Web,Web Technology,"CSS,Communication,Git,HTML,JavaScript,Node,React,SQL",4,3,No,65,60,63,83,73,65,Analytical,Full Stack Developer
EEE,6.1,Mobile,Java,"Android,Kotlin,REST",4,1,No,71,73,71,82,65,75,Coding,Android Developer
IT,7.4,Web,JavaScript,"API testing,SQL,Selenium,Testing",1,0,Yes,90,86,98,86,99,82,Management,QA/Test Engineer
CSE,7.8,Web,Web Technology,"API testing,SQL,Selenium,Testing",2,1,No,83,77,95,97,83,96,Creative,QA/Test Engineer
ECE,8.4,Web,JavaScript,"CSS,Excel,Git,HTML,JavaScript,Node,React,SQL",3,1,No,60,67,69,62,66,61,Creative,Full Stack Developer
EEE,8.1,AI,Python,"Deep Learning,Docker,ML,Python,SQL",4,2,No,67,77,61,67,73,68,Analytical,Machine Learning Engineer
Civil,9.2,Cloud,Cloud Computing,"CI/CD,Docker,Excel,Git,Linux",5,1,Yes,86,86,74,71,98,99,Creative,DevOps Engineer
ECE,8.5,Web,Computer Networks,"API testing,Git,SQL,Selenium,Testing",2,2,Yes,58,62,70,47,57,57,Creative,QA/Test Engineer
EEE,6.6,Data,DBMS,"Excel,Pandas,Python,SQL,Tableau",0,0,Yes,81,87,78,77,68,96,Analytical,Data Analyst
IT,6.5,Web,Computer Networks,"CSS,Git,HTML,JavaScript,React,Statistics",0,3,No,66,70,76,87,65,57,Analytical,Frontend Developer
ECE,8.7,Design,HCI,"Figma,Git,Prototyping,Research,Wireframes",2,0,Yes,77,82,85,75,84,84,Creative,UI/UX Designer
CSE,9.1,Cloud,Cloud Computing,"AWS,Docker,Excel,Networking,Terraform",5,2,No,85,91,95,75,76,79,Coding,Cloud Engineer
EEE,9.4,Business,DBMS,"Agile,Excel,SQL",2,2,No,77,72,85,72,85,93,Coding,Business Analyst
Civil,8.1,Mobile,Mobile Computing,"Android,Git,REST",1,3,No,74,82,78,90,80,92,Management,Android Developer
Mechanical,6.1,Web,JavaScript,"CSS,Git,HTML,JavaScript,React",3,3,No,59,68,65,71,47,71,Coding,Frontend Developer
Mechanical,7.3,AI,Deep Learning,"Deep Learning,Docker,ML,SQL",1,1,No,72,77,71,62,78,85,Coding,Machine Learning Engineer
IT,8.9,Mobile,Java,"Android,Git,Kotlin,REST",3,1,No,64,70,75,48,68,64,Coding,Android Developer
Civil,6.1,Web,Web Technology,"CSS,Docker,Git,HTML,JavaScript,Node,React,SQL",0,2,No,57,61,56,73,52,73,Analytical,Full Stack Developer
Civil,8.5,Data,ML,"ML,Pandas,Python,SQL,Statistics",5,1,No,60,60,64,47,61,87,Analytical,Data Scientist
IT,6.4,Security,Network Security,"Linux,Networking,OWASP,SIEM",4,1,No,69,63,78,52,65,61,Management,Cybersecurity Analyst
IT,8.8,Business,Management,"Agile,Documentation,Excel,SQL",2,3,No,57,57,69,51,76,64,Coding,Business Analyst
Mechanical,8.0,Cloud,Cloud Computing,"AWS,Networking,Terraform",5,0,No,58,59,49,64,54,62,Creative,Cloud Engineer
Mechanical,7.6,Business,Economics,"Agile,Documentation,Excel,SQL",3,3,No,72,69,78,79,85,91,Creative,Business Analyst
IT,6.2,Web,JavaScript,"Git,HTML,JavaScript,Node,React,SQL,Teamwork",0,1,No,85,85,88,79,94,99,Coding,Full Stack Developer
EEE,7.3,Data,ML,"Excel,Pandas,Python,SQL",4,3,Yes,56,59,73,55,58,66,Creative,Data Analyst
Civil,7.1,Web,Computer Networks,"API testing,SQL,Selenium,Testing",1,3,No,89,84,78,99,97,87,Creative,QA/Test Engineer
EEE,7.6,Cloud,OS,"AWS,Docker,Excel,Networking",4,2,No,92,96,90,94,92,99,Management,Cloud Engineer
Civil,8.8,Web,JavaScript,"CSS,Git,HTML,JavaScript,Node,React,SQL,Statistics",4,0,No,64,61,61,73,49,73,Coding,Full Stack Developer
EEE,6.4,AI,Python,"Deep Learning,Docker,ML,Python,SQL",5,3,No,87,89,97,87,94,98,Creative,Machine Learning Engineer
Mechanical,8.1,Data,Statistics,"Excel,Pandas,Python,SQL,Tableau",1,2,No,87,92,98,95,91,83,Management,Data Analyst
IT,6.4,Cloud,Computer Networks,"AWS,Networking,Terraform",1,2,No,95,87,99,87,98,99,Analytical,Cloud Engineer
Mechanical,9.3,Security,OS,"Linux,Networking,OWASP,SIEM",2,3,Yes,66,64,68,60,79,70,Creative,Cybersecurity Analyst
Civil,8.3,Business,Management,"Agile,Documentation,SQL",5,1,Yes,81,90,85,69,99,81,Coding,Business Analyst
EEE,7.4,Security,Cryptography,"Linux,Networking,OWASP,SIEM,Statistics",0,1,No,71,61,61,72,65,77,Coding,Cybersecurity Analyst
IT,8.3,Cloud,Computer Networks,"AWS,Docker,Linux,Networking,Terraform",2,3,No,73,83,82,63,62,63,Creative,Cloud Engineer
Civil,7.2,Cloud,Computer Networks,"CI/CD,Docker,Git,Kubernetes,Linux",1,2,No,92,93,80,95,89,85,Management,DevOps Engineer
IT,6.6,Data,Data Mining,"ML,Pandas,Python,SQL,Statistics",0,2,No,85,87,95,83,72,99,Management,Data Scientist
ECE,8.2,AI,Python,"Deep Learning,Docker,ML,Python,SQL,Statistics",4,0,No,62,60,53,75,53,71,Analytical,Machine Learning Engineer
EEE,6.9,Data,Statistics,"Excel,Git,Pandas,Python,SQL,Tableau",2,0,No,58,66,60,64,64,70,Creative,Data Analyst
Mechanical,7.9,Mobile,Java,"Android,Git,Kotlin,REST",2,1,No,61,61,61,43,63,78,Management,Android Developer
EEE,9.0,Business,Management,"Agile,Documentation,Excel,Linux,SQL",2,0,No,77,77,75,73,84,80,Management,Business Analyst
ECE,6.7,Web,Computer Networks,"CSS,Docker,Git,HTML,JavaScript,Node,React,SQL",4,0,No,92,99,98,83,82,99,Coding,Full Stack Developer
CSE,7.3,Cloud,Computer Networks,"AWS,Docker,Networking,Terraform",2,1,No,59,69,62,53,63,61,Analytical,Cloud Engineer
Civil,7.8,Data,ML,"Excel,Git,Pandas,Python,SQL,Tableau",4,1,No,90,93,99,75,86,99,Management,Data Analyst
IT,6.9,Mobile,Java,"Android,Git,Kotlin",4,1,Yes,62,64,74,49,67,74,Management,Android Developer
EEE,6.8,Web,Web Technology,"API testing,Linux,SQL,Selenium,Testing",4,3,No,92,95,95,99,91,99,Management,QA/Test Engineer
Mechanical,8.3,Mobile,Kotlin,"Android,Git,Kotlin,REST",1,2,No,79,86,67,76,66,77,Creative,Android Developer
ECE,6.5,Data,ML,"ML,Pandas,Python,SQL,Statistics",0,0,Yes,55,54,62,50,41,82,Creative,Data Scientist
EEE,6.6,Web,Web Technology,"API testing,Communication,SQL,Testing",1,2,No,60,62,48,72,49,77,Coding,QA/Test Engineer
Civil,8.9,Cloud,Computer Networks,"AWS,Docker,Terraform",5,3,No,63,53,62,63,55,73,Creative,Cloud Engineer
ECE,6.1,Web,JavaScript,"CSS,Excel,Git,HTML,JavaScript,Node,React,SQL",3,1,No,63,69,55,49,57,80,Creative,Full Stack Developer
IT,7.9,Web,Computer Networks,"CSS,Git,HTML,JavaScript,React",3,0,Yes,78,83,75,81,64,75,Creative,Frontend Developer
Civil,6.9,Security,Cryptography,"Linux,Networking,OWASP,SIEM",0,2,No,64,66,62,71,70,58,Creative,Cybersecurity Analyst
IT,8.2,Cloud,Computer Networks,"AWS,Docker,Terraform",4,1,No,83,88,82,76,76,98,Analytical,Cloud Engineer
EEE,6.4,Data,Statistics,"Excel,Git,Pandas,Python,SQL,Tableau",2,0,No,62,65,88,59,53,87,Coding,Data Analyst
Civil,7.3,Security,OS,"Linux,Networking,OWASP",1,1,No,55,45,53,44,49,59,Management,Cybersecurity Analyst
CSE,8.8,Web,JavaScript,"CSS,Excel,Git,HTML,JavaScript,React",4,2,No,86,93,86,99,75,84,Analytical,Frontend Developer
IT,6.1,Web,Web Technology,"CSS,Git,HTML,JavaScript,Node,React,SQL",1,1,Yes,73,77,76,63,82,85,Management,Full Stack Developer
IT,9.2,Security,Cryptography,"Linux,Networking,OWASP,SIEM,Teamwork",0,2,No,77,68,85,78,69,83,Coding,Cybersecurity Analyst
Mechanical,8.8,Design,UI Basics,"Figma,Prototyping,Research,Wireframes",2,3,No,60,50,57,81,58,58,Analytical,UI/UX Designer
EEE,6.6,Design,Graphics,"Figma,Prototyping,Research,Wireframes",0,1,No,83,79,78,80,74,87,Creative,UI/UX Designer
Mechanical,9.0,Cloud,Computer Networks,"CI/CD,Git,Kubernetes,Linux",1,2,No,82,82,76,96,74,85,Creative,DevOps Engineer
Mechanical,6.9,Web,Computer Networks,"CSS,Git,HTML,JavaScript,React",2,1,No,87,97,90,81,96,78,Creative,Frontend Developer
Mechanical,9.4,Security,OS,"Linux,Networking,OWASP,SIEM",3,1,No,82,78,79,85,81,89,Analytical,Cybersecurity Analyst
CSE,8.4,Mobile,Java,"Android,Git,Kotlin,REST",2,1,No,72,65,60,60,69,69,Management,Android Developer
Civil,7.4,Cloud,Computer Networks,"CI/CD,Docker,Git,Kubernetes,Linux",1,2,No,92,93,90,92,83,84,Management,DevOps Engineer
EEE,7.5,Cloud,OS,"CI/CD,Docker,Git,Kubernetes",3,0,No,59,52,58,53,54,55,Management,DevOps Engineer
Mechanical,9.3,Web,Web Technology,"CSS,Git,HTML,JavaScript,React",3,3,Yes,77,84,74,96,89,95,Management,Frontend Developer
EEE,9.3,Mobile,Java,"Git,Kotlin,REST",0,2,No,66,74,55,55,67,76,Coding,Android Developer
EEE,8.1,Design,UI Basics,"Docker,Prototyping,Research,Wireframes",4,2,No,77,79,73,85,81,97,Analytical,UI/UX Designer
IT,7.7,Data,DBMS,"Linux,ML,Pandas,Python,SQL",3,0,No,94,84,98,84,89,99,Analytical,Data Scientist
Civil,8.0,Cloud,Computer Networks,"AWS,Communication,Docker,Networking,Terraform",1,3,No,95,99,93,99,92,97,Management,Cloud Engineer
IT,7.2,Business,DBMS,"Agile,Communication,Documentation,Excel,SQL",5,2,No,93,92,85,99,99,91,Creative,Business Analyst
EEE,6.3,Web,JavaScript,"CSS,Git,HTML,JavaScript,React",5,3,Yes,79,75,69,99,73,95,Coding,Frontend Developer
CSE,8.1,Data,Statistics,"ML,Pandas,Python,SQL,Statistics",4,3,Yes,60,66,71,66,49,75,Analytical,Data Scientist
CSE,7.4,AI,Python,"Deep Learning,Docker,ML,Python,SQL",3,3,No,72,66,72,75,66,76,Analytical,Machine Learning Engineer
IT,8.1,Design,UI Basics,"Figma,Prototyping,Wireframes",1,1,No,95,90,99,84,99,99,Analytical,UI/UX Designer
ECE,7.7,Cloud,Computer Networks,"CI/CD,Docker,Kubernetes,Linux",0,0,No,71,64,76,77,65,81,Coding,DevOps Engineer
Mechanical,7.8,Design,UI Basics,"Docker,Figma,Prototyping,Wireframes",3,2,Yes,64,65,65,76,57,81,Management,UI/UX Designer
Civil,8.9,AI,Python,"Deep Learning,Docker,Linux,ML,Python,SQL",3,3,No,92,89,99,78,93,90,Management,Machine Learning Engineer
ECE,8.3,Web,Web Technology,"CSS,Git,HTML,Node,React,SQL",3,3,Yes,71,80,83,69,78,75,Analytical,Full Stack Developer
CSE,7.1,Business,DBMS,"Agile,Documentation,Excel,SQL",3,1,Yes,72,80,77,60,73,86,Analytical,Business Analyst
Civil,6.4,AI,Deep Learning,"Deep Learning,Docker,Linux,ML,Python,SQL",5,1,No,95,99,83,96,93,99,Creative,Machine Learning Engineer
Mechanical,6.1,Design,HCI,"Figma,Research,Wireframes",4,0,Yes,69,79,74,89,60,65,Analytical,UI/UX Designer
Mechanical,7.4,Web,Computer Networks,"CSS,Git,HTML,JavaScript,Node,React",1,2,No,58,61,66,61,51,51,Coding,Full Stack Developer
IT,9.1,Security,Network Security,"Linux,Networking,OWASP,SIEM",0,0,Yes,84,93,92,73,92,99,Analytical,Cybersecurity Analyst
EEE,7.4,Data,DBMS,"Excel,Pandas,Python,SQL,Tableau",1,1,No,65,60,64,64,59,64,Management,Data Analyst
EEE,8.9,Security,Cryptography,"Communication,Linux,Networking,OWASP",0,1,Yes,83,79,87,66,93,88,Analytical,Cybersecurity Analyst
ECE,6.2,Web,Web Technology,"API testing,SQL,Selenium,Testing",2,2,No,73,68,69,71,74,73,Management,QA/Test Engineer
EEE,7.4,Cloud,Cloud Computing,"AWS,Docker,Networking",5,3,Yes,95,91,92,99,93,85,Analytical,Cloud Engineer
Civil,6.7,Web,Computer Networks,"Excel,Git,Linux,Python,REST",1,0,No,83,82,93,95,77,74,Analytical,Backend Developer
EEE,7.8,Security,OS,"Communication,Linux,Networking,OWASP,SIEM",4,0,No,67,58,71,78,69,86,Creative,Cybersecurity Analyst
Civil,7.5,Web,Web Technology,"API testing,Excel,SQL,Selenium,Testing",3,1,No,92,86,99,95,99,99,Management,QA/Test Engineer
ECE,7.7,Web,Web Technology,"CSS,Docker,Git,HTML,JavaScript,Node,React",4,2,Yes,93,84,96,91,99,99,Analytical,Full Stack Developer
Mechanical,9.3,Security,Cryptography,"Linux,OWASP,SIEM",2,1,No,64,68,57,49,62,63,Coding,Cybersecurity Analyst
EEE,6.4,Web,Web Technology,"Git,Linux,Python,SQL",2,3,No,81,79,89,69,92,86,Management,Backend Developer
Civil,7.1,Data,Data Mining,"Excel,Pandas,Python,SQL,Tableau",3,0,No,93,94,99,99,95,99,Management,Data Analyst
IT,6.3,Data,ML,"ML,Pandas,Python,SQL,Statistics",1,0,No,55,45,64,42,49,72,Management,Data Scientist
EEE,8.3,Web,Computer Networks,"API testing,SQL,Selenium,Testing",3,2,No,67,69,64,54,53,74,Coding,QA/Test Engineer
ECE,8.8,Data,DBMS,"Excel,Pandas,Python,SQL,Tableau",5,1,No,75,73,86,63,62,70,Coding,Data Analyst
ECE,7.5,Cloud,OS,"CI/CD,Docker,Git,Kubernetes,Linux",1,1,No,79,87,76,96,79,70,Coding,DevOps Engineer
EEE,8.2,Mobile,Kotlin,"Android,Git,Kotlin,REST",5,1,Yes,95,95,93,78,99,96,Creative,Android Developer
EEE,9.4,Web,Computer Networks,"CSS,Git,HTML,JavaScript,React",1,3,No,88,91,96,99,92,99,Management,Frontend Developer
Civil,6.9,Web,JavaScript,"API testing,SQL,Testing",3,0,No,82,76,83,69,69,73,Management,QA/Test Engineer
ECE,8.2,AI,ML,"Deep Learning,Docker,Python,SQL",4,1,No,60,63,52,69,65,63,Management,Machine Learning Engineer
CSE,9.0,Security,Network Security,"Linux,Networking,OWASP,SIEM",0,3,Yes,74,74,78,58,69,81,Analytical,Cybersecurity Analyst
Civil,6.1,Web,Computer Networks,"API testing,SQL,Selenium,Testing",4,0,Yes,67,75,74,83,70,81,Creative,QA/Test Engineer
CSE,8.6,Cloud,OS,"AWS,Docker,Statistics,Terraform",0,0,No,83,80,89,85,81,79,Coding,Cloud Engineer
IT,8.8,Web,JavaScript,"CSS,Git,HTML,JavaScript,React",4,3,No,90,90,78,94,96,99,Coding,Frontend Developer
Mechanical,6.0,Data,DBMS,"Excel,Pandas,Python,SQL,Tableau",5,2,Yes,89,89,99,84,99,96,Analytical,Data Analyst
IT,7.9,Web,Web Technology,"CSS,Git,HTML,JavaScript,React",1,0,No,90,87,81,81,95,97,Creative,Frontend Developer
Mechanical,8.2,Cloud,Computer Networks,"AWS,Docker,Networking,Terraform",2,2,No,72,76,63,70,77,80,Management,Cloud Engineer
CSE,8.9,Web,Web Technology,"CSS,Docker,Git,HTML,JavaScript,Node,React,SQL",2,1,No,94,99,99,77,94,99,Coding,Full Stack Developer
CSE,7.5,Web,Computer Networks,"API testing,SQL,Selenium,Teamwork,Testing",3,3,No,63,57,67,74,72,67,Management,QA/Test Engineer
ECE,8.5,Web,JavaScript,"API testing,SQL,Selenium,Testing",5,2,No,65,70,72,60,59,77,Creative,QA/Test Engineer
Civil,7.6,Web,Web Technology,"API testing,SQL,Selenium,Testing",0,3,No,90,83,93,99,90,83,Analytical,QA/Test Engineer
Mechanical,7.0,Cloud,Cloud Computing,"CI/CD,Docker,Git,Kubernetes,Linux",2,0,No,63,69,58,52,66,76,Creative,DevOps Engineer
EEE,7.1,Web,Web Technology,"CSS,Git,HTML,JavaScript,Node,React,SQL",4,2,No,94,99,97,88,99,91,Coding,Full Stack Developer
IT,6.3,Web,Computer Networks,"API testing,Docker,SQL,Selenium",0,0,No,62,64,50,54,67,67,Management,QA/Test Engineer
IT,8.4,Cloud,Computer Networks,"AWS,Docker,Terraform",0,2,No,68,59,69,66,63,77,Management,Cloud Engineer
CSE,9.4,Web,Computer Networks,"CSS,Git,JavaScript,React",4,1,No,88,90,95,99,99,84,Analytical,Frontend Developer
Civil,6.7,Web,JavaScript,"API testing,SQL,Selenium,Testing",2,0,Yes,90,95,79,75,85,99,Analytical,QA/Test Engineer
Civil,8.2,Business,Economics,"Agile,Documentation,Excel,SQL,Statistics",4,0,No,56,49,58,71,57,64,Analytical,Business Analyst
EEE,7.6,AI,Deep Learning,"Deep Learning,Docker,ML,Python",0,2,No,89,81,83,87,97,99,Creative,Machine Learning Engineer
Mechanical,6.2,Web,Computer Networks,"Git,Linux,Python,REST,SQL",3,2,No,58,52,55,59,54,51,Analytical,Backend Developer
Mechanical,8.9,Web,Web Technology,"Git,Linux,Python,REST,SQL",3,0,No,88,84,87,99,93,92,Creative,Backend Developer
Civil,6.2,Business,Management,"Agile,Documentation,Excel,SQL",5,3,No,93,89,99,94,99,89,Management,Business Analyst
Mechanical,8.0,Data,DBMS,"Excel,Pandas,Python,SQL,Statistics,Tableau",1,1,No,59,59,71,51,62,64,Management,Data Analyst
Civil,6.4,Web,Computer Networks,"Git,Linux,Python,REST,SQL,Statistics",5,1,No,61,71,53,59,52,56,Analytical,Backend Developer
Civil,9.3,Data,Data Mining,"Linux,ML,Pandas,Python,SQL,Statistics",0,3,No,63,65,83,46,68,74,Coding,Data Scientist
